State, Region, County, District, District Name, Charter Status, Superintendent, Base Pay, FTE Pay, Enrollment, FTE
TX,3, VICTORIA COUNTY,235902, VICTORIA ISD, TRADITIONAL ISD/CSD,"SHEPHERD, QUINTIN D",295000,295000,13479,1
TX,20, BEXAR COUNTY,15910, NORTH EAST ISD, TRADITIONAL ISD/CSD,"MAIKA, SEAN A",290001,290001,60483,1
TX,1, HIDALGO COUNTY,108908, MISSION CISD, TRADITIONAL ISD/CSD,"PEREZ, CAROLINA G",287362,287362,15044,1
TX,17, LUBBOCK COUNTY,152906, LUBBOCK-COOPER ISD, TRADITIONAL ISD/CSD,"BRYANT, KEITH DALE",286855,286855,7115,1
TX,7, SMITH COUNTY,212905, TYLER ISD, TRADITIONAL ISD/CSD,"CRAWFORD, MARTY LANE",285000,285000,17721,1
TX,4, HARRIS COUNTY,101916, LA PORTE ISD, TRADITIONAL ISD/CSD,"JACKSON, WALTER GERALD",283688,283688,6999,1
TX,1, HIDALGO COUNTY,108909, PHARR-SAN JUAN-ALAMO ISD, TRADITIONAL ISD/CSD,"ARREDONDO, JORGE L",283250,283250,31234,1
TX,20, BEXAR COUNTY,15909, SOMERSET ISD, TRADITIONAL ISD/CSD,"HINOJOSA, SAUL URIEL",282292,282292,4021,1
TX,11, TARRANT COUNTY,220916, HURST-EULESS-BEDFORD ISD, TRADITIONAL ISD/CSD,"CHAPMAN, STEVEN A",279814,279814,22962,1
TX,11, TARRANT COUNTY,220907, KELLER ISD, TRADITIONAL ISD/CSD,"WESTFALL, RICHARD E",279745,279745,34319,1
TX,6, MONTGOMERY COUNTY,170906, MAGNOLIA ISD, TRADITIONAL ISD/CSD,"STEPHENS, SAMUEL TODD",276097,276097,13122,1
TX,13, TRAVIS COUNTY,227904, PFLUGERVILLE ISD, TRADITIONAL ISD/CSD,"KILLIAN, DOUGLAS WAYNE",275525,275525,25436,1
TX,10, DALLAS COUNTY,57910, GRAND PRAIRIE ISD, TRADITIONAL ISD/CSD,"ELLIS, LINDA K",275225,275225,28230,1
TX,10, KAUFMAN COUNTY,129902, FORNEY ISD, TRADITIONAL ISD/CSD,"TERRY, JUSTIN W",275000,275000,12765,1
TX,11, TARRANT COUNTY,220908, MANSFIELD ISD, TRADITIONAL ISD/CSD,"CANTU, KIMBERLEY MORGAN",275000,275000,35127,1
TX,6, MONTGOMERY COUNTY,170903, MONTGOMERY ISD, TRADITIONAL ISD/CSD,"MORRISON, HEATH E",272588,272588,8920,1
TX,10, COLLIN COUNTY,43919, LOVEJOY ISD, TRADITIONAL ISD/CSD,"GODDARD, MICHAEL EDWARD",270000,270000,4206,1
TX,10, DALLAS COUNTY,57904, CEDAR HILL ISD, TRADITIONAL ISD/CSD,"HUDSON, GERALD BENARD",269756,269756,7253,1
TX,10, DALLAS COUNTY,57912, IRVING ISD, TRADITIONAL ISD/CSD,"HERNANDEZ, MAGDA A",269731,269731,32682,1
TX,20, BEXAR COUNTY,15912, SOUTHWEST ISD, TRADITIONAL ISD/CSD,"VERSTUYFT, LLOYD C",269139,269139,13474,1
TX,16, POTTER COUNTY,188901, AMARILLO ISD, TRADITIONAL ISD/CSD,"LOOMIS, DOUGLAS D",267865,267865,31388,1
TX,20, GUADALUPE COUNTY,94902, SCHERTZ-CIBOLO-U CITY ISD, TRADITIONAL ISD/CSD,"EALY, CLARK C",267597,267597,15673,1
TX,1, HIDALGO COUNTY,108902, DONNA ISD, TRADITIONAL ISD/CSD,"AZAIEZ, HAFEDH",266622,266622,13853,1
TX,10, COLLIN COUNTY,43914, WYLIE ISD, TRADITIONAL ISD/CSD,"VINSON, DAVID L",264784,264784,17482,1
TX,4, BRAZORIA COUNTY,20905, BRAZOSPORT ISD, TRADITIONAL ISD/CSD,"MASSEY, DANNY L",264000,264000,11424,1
TX,6, BRAZOS COUNTY,21902, BRYAN ISD, TRADITIONAL ISD/CSD,"WHITBECK, CHRISTIE LYNN",262800,262800,15761,1
TX,4, HARRIS COUNTY,101921, TOMBALL ISD, TRADITIONAL ISD/CSD,"SALAZAR ZAMORA, MARTHA",262450,262450,18666,1
TX,12, MCLENNAN COUNTY,161914, WACO ISD, TRADITIONAL ISD/CSD,"KINCANNON, SUSAN",261025,261025,14428,1
TX,11, JOHNSON COUNTY,126902, BURLESON ISD, TRADITIONAL ISD/CSD,"JIMERSON, BRET",260007,260007,12547,1
TX,11, PARKER COUNTY,184903, WEATHERFORD ISD, TRADITIONAL ISD/CSD,"REES, REAGAN CARTER",260000,260000,8024,1
TX,1, WEBB COUNTY,240901, LAREDO ISD, TRADITIONAL ISD/CSD,"RIOS, SYLVIA G",260000,260000,22041,1
TX,4, HARRIS COUNTY,101911, GOOSE CREEK CISD, TRADITIONAL ISD/CSD,"O'BRIEN, RANDAL KENT",258329,258329,23318,1
TX,6, MONTGOMERY COUNTY,170904, WILLIS ISD, TRADITIONAL ISD/CSD,"HARKRIDER, TIM T",257656,257656,7882,1
TX,10, ROCKWALL COUNTY,199901, ROCKWALL ISD, TRADITIONAL ISD/CSD,"VILLARREAL, JOHN E",256250,256250,16987,1
TX,1, HIDALGO COUNTY,108913, WESLACO ISD, TRADITIONAL ISD/CSD,"CANALES, PRISCILLA",255667,255667,16571,1
TX,10, DALLAS COUNTY,57922, COPPELL ISD, TRADITIONAL ISD/CSD,"HUNT, BRADLEY A",255000,255000,13052,1
TX,13, BASTROP COUNTY,11901, BASTROP ISD, TRADITIONAL ISD/CSD,"EDWARDS, BARRON ARMSTRONG",253707,253707,11405,1
TX,14, TAYLOR COUNTY,221901, ABILENE ISD, TRADITIONAL ISD/CSD,"YOUNG, DAVID EARLE",252919,252919,15680,1
TX,20, BEXAR COUNTY,15835, GREAT HEARTS TEXAS, OPEN ENROLLMENT CHARTER,"SCOGGIN, DANIEL PAUL",252500,252500,6642,1
TX,4, GALVESTON COUNTY,84902, GALVESTON ISD, TRADITIONAL ISD/CSD,"MOULTON, KELLI ANN",251697,251697,6698,1
TX,11, DENTON COUNTY,61912, LAKE DALLAS ISD, TRADITIONAL ISD/CSD,"STINSON, SELENA GAYLE",251488,251488,3871,1
TX,4, HARRIS COUNTY,101906, CROSBY ISD, TRADITIONAL ISD/CSD,"DAVIS, SCOTT W",251026,251026,6337,1
TX,1, HIDALGO COUNTY,108906, MCALLEN ISD, TRADITIONAL ISD/CSD,"GONZALEZ, JOSE A",250800,250800,21602,1
TX,10, ELLIS COUNTY,70908, MIDLOTHIAN ISD, TRADITIONAL ISD/CSD,"LEDBETTER, LESLIE LANE",250609,397162,9838,0.63
TX,4, HARRIS COUNTY,101905, CHANNELVIEW ISD, TRADITIONAL ISD/CSD,"OLLIS, GREGORY H",250441,250441,9572,1
TX,10, GRAYSON COUNTY,91906, SHERMAN ISD, TRADITIONAL ISD/CSD,"HICKS, DAVID",250049,250049,7503,1
TX,10, COLLIN COUNTY,43912, PROSPER ISD, TRADITIONAL ISD/CSD,"FERGUSON, HOLLY J",250000,250000,19138,1
TX,4, HARRIS COUNTY,101910, GALENA PARK ISD, TRADITIONAL ISD/CSD,"MOORE, JOHN C",250000,250000,21918,1
TX,20, BEXAR COUNTY,15916, JUDSON ISD, TRADITIONAL ISD/CSD,"BALL, JEANETTE",249999,249999,23825,1
TX,17, LUBBOCK COUNTY,152901, LUBBOCK ISD, TRADITIONAL ISD/CSD,"ROLLO, KATHRYN RENE",249600,249600,26451,1
TX,7, SMITH COUNTY,212903, LINDALE ISD, TRADITIONAL ISD/CSD,"SURRATT, STAN M",249205,249205,4148,1
TX,1, HIDALGO COUNTY,108904, EDINBURG CISD, TRADITIONAL ISD/CSD,"GARZA, GILBERTO",248600,248600,32797,1
TX,4, BRAZORIA COUNTY,20901, ALVIN ISD, TRADITIONAL ISD/CSD,"NELSON, CAROL L",247002,247002,27006,1
TX,4, HARRIS COUNTY,101924, SHELDON ISD, TRADITIONAL ISD/CSD,"DAVIS, KING ROY",245720,245720,10206,1
TX,20, BEXAR COUNTY,15905, EDGEWOOD ISD, TRADITIONAL ISD/CSD,"HERNANDEZ, EDUARDO",245000,245000,9152,1
TX,13, TRAVIS COUNTY,227824, PROMESA PUBLIC SCHOOLS, OPEN ENROLLMENT CHARTER,"CAVAZOS, SALVADOR",244537,244537,1010,1
TX,10, DALLAS COUNTY,57807, LIFE SCHOOL, OPEN ENROLLMENT CHARTER,"WILSON, THOMAS B",244471,244471,5547,1
TX,15, TOM GREEN COUNTY,226903, SAN ANGELO ISD, TRADITIONAL ISD/CSD,"DETHLOFF, CARL H",243600,243600,14100,1
TX,12, MCLENNAN COUNTY,161903, MIDWAY ISD, TRADITIONAL ISD/CSD,"KAZANAS, GEORGE EVAN",243310,243310,8253,1
TX,13, WILLIAMSON COUNTY,246904, GEORGETOWN ISD, TRADITIONAL ISD/CSD,"BRENT, FRED MARTIN",242500,242500,11866,1
TX,4, FORT BEND COUNTY,79906, NEEDVILLE ISD, TRADITIONAL ISD/CSD,"RHODES, CURTIS WAYNE",242258,242258,3306,1
TX,12, BELL COUNTY,14903, BELTON ISD, TRADITIONAL ISD/CSD,"SMITH, MATTHEW LAYTON",241818,241818,12609,1
TX,4, HARRIS COUNTY,101908, DEER PARK ISD, TRADITIONAL ISD/CSD,"HARRELL, STEPHEN DAVID",240000,240000,12370,1
TX,20, MAVERICK COUNTY,159901, EAGLE PASS ISD, TRADITIONAL ISD/CSD,"MIJARES, SAMUEL",239477,239477,14028,1
TX,1, HIDALGO COUNTY,108911, SHARYLAND ISD, TRADITIONAL ISD/CSD,"VIDAURRI, MARIA MAGDALENA",238500,238500,9765,1
TX,4, HARRIS COUNTY,101925, HUFFMAN ISD, TRADITIONAL ISD/CSD,"SOILEAU, CHRISTOPHER B",238432,238432,3439,1
TX,20, KENDALL COUNTY,130901, BOERNE ISD, TRADITIONAL ISD/CSD,"PRICE, THOMAS O",238048,238048,9617,1
TX,13, HAYS COUNTY,105902, SAN MARCOS CISD, TRADITIONAL ISD/CSD,"CARDONA, MICHAEL A",237708,237708,8013,1
TX,12, MCLENNAN COUNTY,161906, LA VEGA ISD, TRADITIONAL ISD/CSD,"SHIELDS, SHARON MARIE",237215,237215,3069,1
TX,6, BRAZOS COUNTY,21901, COLLEGE STATION ISD, TRADITIONAL ISD/CSD,"MARTINDALE, MICHAEL T",237000,237000,13664,1
TX,11, PARKER COUNTY,184907, ALEDO ISD, TRADITIONAL ISD/CSD,"BOHN, SUSAN KOLAR",234036,234036,6723,1
TX,20, BEXAR COUNTY,15901, ALAMO HEIGHTS ISD, TRADITIONAL ISD/CSD,"BASHARA, DANA MARIE",234000,234000,4846,1
TX,5, JEFFERSON COUNTY,123907, PORT ARTHUR ISD, TRADITIONAL ISD/CSD,"PORTERIE, MARK L",233049,233049,7957,1
TX,6, MADISON COUNTY,154901, MADISONVILLE CISD, TRADITIONAL ISD/CSD,"SMITH, KEITH WAYNE",232373,232373,2294,1
TX,20, COMAL COUNTY,46902, COMAL ISD, TRADITIONAL ISD/CSD,"KIM, BYUNG KI",232001,232001,25459,1
TX,4, HARRIS COUNTY,101806, RAUL YZAGUIRRE SCHOOLS FOR SUCCESS, OPEN ENROLLMENT CHARTER,"TAMEZ, ADRIANA",231750,231750,1335,1
TX,11, TARRANT COUNTY,220920, WHITE SETTLEMENT ISD, TRADITIONAL ISD/CSD,"MOLINAR, FRANK",231525,231525,6701,1
TX,9, WICHITA COUNTY,243905, WICHITA FALLS ISD, TRADITIONAL ISD/CSD,"KUHRT, MICHAEL SCOTT",231314,231314,13600,1
TX,10, KAUFMAN COUNTY,129901, CRANDALL ISD, TRADITIONAL ISD/CSD,"ELDREDGE, WENDY PAIGE",231118,231118,4868,1
TX,10, KAUFMAN COUNTY,129903, KAUFMAN ISD, TRADITIONAL ISD/CSD,"BLAYLOCK, ROBIN L",231000,231000,4025,1
TX,10, HUNT COUNTY,116905, GREENVILLE ISD, TRADITIONAL ISD/CSD,"LIGGINS, DEMETRUS D",230540,230540,5277,1
TX,10, DALLAS COUNTY,57835, GOLDEN RULE CHARTER SCHOOL, OPEN ENROLLMENT CHARTER,"DELGADO, VICENTE",230000,230000,1554,1
TX,1, CAMERON COUNTY,31906, LOS FRESNOS CISD, TRADITIONAL ISD/CSD,"SALAZAR, GONZALO",229482,229482,10529,1
TX,20, BEXAR COUNTY,15917, SOUTHSIDE ISD, TRADITIONAL ISD/CSD,"RAMIEZ, ROLANDO M",229400,229400,5595,1
TX,5, JEFFERSON COUNTY,123910, BEAUMONT ISD, TRADITIONAL ISD/CSD,"ALLEN, SHANNON D",229000,229000,17128,1
TX,13, WILLIAMSON COUNTY,246906, HUTTO ISD, TRADITIONAL ISD/CSD,"THOMAS, CELINA ESTRADA",228660,228660,8421,1
TX,13, BURNET COUNTY,27904, MARBLE FALLS ISD, TRADITIONAL ISD/CSD,"ALLEN, CHRISTOPHER S",228263,228263,4099,1
TX,5, CHAMBERS COUNTY,36903, EAST CHAMBERS ISD, TRADITIONAL ISD/CSD,"CAMPBELL, JEFFERY SCOTT",227808,227808,1509,1
TX,11, DENTON COUNTY,61914, LITTLE ELM ISD, TRADITIONAL ISD/CSD,"GALLAGHER, DANIEL G",227535,227535,8108,1
TX,13, COMAL COUNTY,46901, NEW BRAUNFELS ISD, TRADITIONAL ISD/CSD,"MOCZYGEMBA, DAVID RANDALL",227424,227424,9282,1
TX,20, BEXAR COUNTY,15911, EAST CENTRAL ISD, TRADITIONAL ISD/CSD,"TOSCANO, ROLANDO",226691,226691,9770,1
TX,1, HIDALGO COUNTY,108808, VANGUARD ACADEMY, OPEN ENROLLMENT CHARTER,"GARCIA, NARCISO",226350,226350,4906,1
TX,12, NAVARRO COUNTY,175903, CORSICANA ISD, TRADITIONAL ISD/CSD,"FROST, DIANE D",225692,225692,6059,1
TX,10, DALLAS COUNTY,57848, INTERNATIONAL LEADERSHIP OF TEXAS, OPEN ENROLLMENT CHARTER,"CONGER, EDWARD G",225000,225000,20853,1
TX,10, DALLAS COUNTY,57906, DESOTO ISD, TRADITIONAL ISD/CSD,"WEAVER, D'ANDRE J",225000,225000,7929,1
TX,4, LIBERTY COUNTY,146901, CLEVELAND ISD, TRADITIONAL ISD/CSD,"TROTTER, CHRISTOPHER ALAN",225000,225000,8888,1
TX,1, CAMERON COUNTY,31912, SAN BENITO CISD, TRADITIONAL ISD/CSD,"CARMAN, JOHN N",224376,224376,9728,1
TX,12, CORYELL COUNTY,50910, COPPERAS COVE ISD, TRADITIONAL ISD/CSD,"BURNS, JOSEPH",224159,224159,8052,1
TX,7, ANGELINA COUNTY,3903, LUFKIN ISD, TRADITIONAL ISD/CSD,"TORRES, LYNN",222040,222040,7432,1
TX,4, GALVESTON COUNTY,84909, SANTA FE ISD, TRADITIONAL ISD/CSD,"WALL, ELIZABETH LEIGH",221451,221451,4343,1
TX,10, ELLIS COUNTY,70903, ENNIS ISD, TRADITIONAL ISD/CSD,"TULLOS, JAY H",221450,221450,5836,1
TX,16, RANDALL COUNTY,191901, CANYON ISD, TRADITIONAL ISD/CSD,"FLUSCHE, DARRYL GLEN",221200,221200,10324,1
TX,10, ROCKWALL COUNTY,199902, ROYSE CITY ISD, TRADITIONAL ISD/CSD,"WORTHY, KEVIN MARK",220500,220500,6886,1
TX,20, GUADALUPE COUNTY,94901, SEGUIN ISD, TRADITIONAL ISD/CSD,"GUTIERREZ, MATTHEW A",219038,219038,6899,1
TX,1, STARR COUNTY,214901, RIO GRANDE CITY CISD, TRADITIONAL ISD/CSD,"GARZA, VILMA",219000,219000,9997,1
TX,20, KERR COUNTY,133903, KERRVILLE ISD, TRADITIONAL ISD/CSD,"FOUST, MARK J",218400,218400,4781,1
TX,13, CALDWELL COUNTY,28902, LOCKHART ISD, TRADITIONAL ISD/CSD,"ESTRADA, MARGARITO",217677,217677,6043,1
TX,11, JOHNSON COUNTY,126903, CLEBURNE ISD, TRADITIONAL ISD/CSD,"HEATH, KYLE",217377,217377,6859,1
TX,19, EL PASO COUNTY,71901, CLINT ISD, TRADITIONAL ISD/CSD,"MARTINEZ, JUAN I",217146,217146,10663,1
TX,1, STARR COUNTY,214903, ROMA ISD, TRADITIONAL ISD/CSD,"GUZMAN, CARLOS",216379,216379,6060,1
TX,1, CAMERON COUNTY,31916, SOUTH TEXAS ISD, TRADITIONAL ISD/CSD,"LARA, MARCO A",216000,216000,4194,1
TX,7, HARRISON COUNTY,102902, MARSHALL ISD, TRADITIONAL ISD/CSD,"GIBSON, JERRY E",215520,215520,5064,1
TX,10, ELLIS COUNTY,70912, WAXAHACHIE ISD, TRADITIONAL ISD/CSD,"CAIN, BONNY L",215000,215000,9679,1
TX,10, KAUFMAN COUNTY,129906, TERRELL ISD, TRADITIONAL ISD/CSD,"WARNOCK, TERESA GEORGEANNE",215000,215000,4728,1
TX,13, TRAVIS COUNTY,227907, MANOR ISD, TRADITIONAL ISD/CSD,"SPENCER, ANDRE DEVOUR",215000,215000,9238,1
TX,4, GALVESTON COUNTY,84901, DICKINSON ISD, TRADITIONAL ISD/CSD,"VOELKEL, CARLA RENEE",214240,214240,11631,1
TX,11, HOOD COUNTY,111901, GRANBURY ISD, TRADITIONAL ISD/CSD,"GLENN, JEREMY K",213246,213246,7469,1
TX,1, HIDALGO COUNTY,108802, HORIZON MONTESSORI PUBLIC SCHOOLS, OPEN ENROLLMENT CHARTER,"ANSARI, ALIM U",213195,213195,1280,1
TX,6, WALKER COUNTY,236902, HUNTSVILLE ISD, TRADITIONAL ISD/CSD,"SHEPPARD, LARRY SCOTT",212680,212680,10858,1
TX,11, COOKE COUNTY,49901, GAINESVILLE ISD, TRADITIONAL ISD/CSD,"STEWART, DESMONTES",212000,212000,3057,1
TX,13, TRAVIS COUNTY,227910, DEL VALLE ISD, TRADITIONAL ISD/CSD,"VILLEROT, ANNETTE MARIA",212000,212000,10654,1
TX,4, HARRIS COUNTY,101862, HARMONY SCHOOL OF SCIENCE - HOUSTO, OPEN ENROLLMENT CHARTER,"AY, FATIH",210000,210000,3992,1
TX,17, LUBBOCK COUNTY,152907, FRENSHIP ISD, TRADITIONAL ISD/CSD,"MCCORD, JERRI M",210000,210000,10353,1
